FlyAsh,GGBFS,Metakaolin,NaOH_M,Na2SiO3,CopperSlag,RecycledAgg,Curing_Days,Si_Al,Comp_Strength,Density
400,0,0,14,120,0,300,14,2.200,42.1,1.740
400,0,0,14,120,0,300,14,2.200,50.9,1.740
400,0,0,14,120,0,300,28,2.200,38.6,1.740
400,0,0,14,120,0,300,28,2.200,36.5,1.740
400,0,0,14,120,0,300,28,2.200,44.5,1.740
400,0,0,14,120,0,300,28,2.200,51.7,1.740
400,0,0,14,120,0,300,28,2.200,37.2,1.740
400,0,0,14,120,0,300,28,2.200,45.3,1.740
400,0,0,14,120,0,300,28,2.200,52.0,1.740
300,100,0,8,120,0,300,3,1.950,38.6,1.740
300,100,0,8,120,0,300,3,1.950,38.3,1.740
300,100,0,8,120,0,300,3,1.950,40.5,1.740
300,100,0,8,120,0,300,3,1.950,52.9,1.740
300,100,0,8,120,0,300,3,1.950,38.8,1.740
300,100,0,8,120,0,300,3,1.950,44.0,1.740
300,100,0,8,120,0,300,3,1.950,54.2,1.740
300,100,0,8,120,0,300,7,1.950,38.9,1.740
300,100,0,8,120,0,300,7,1.950,38.0,1.740
300,100,0,8,120,0,300,7,1.950,40.5,1.740
300,100,0,8,120,0,300,7,1.950,53.3,1.740
300,100,0,8,120,0,300,7,1.950,38.5,1.740
300,100,0,8,120,0,300,7,1.950,43.6,1.740
300,100,0,8,120,0,300,7,1.950,54.5,1.740
300,100,0,8,120,0,300,14,1.950,38.8,1.740
300,100,0,8,120,0,300,14,1.950,37.9,1.740
300,100,0,8,120,0,300,14,1.950,41.4,1.740
300,100,0,8,120,0,300,14,1.950,54.7,1.740
300,100,0,8,120,0,300,14,1.950,37.9,1.740
300,100,0,8,120,0,300,14,1.950,43.5,1.740
300,100,0,8,120,0,300,14,1.950,55.4,1.740
300,100,0,8,120,0,300,28,1.950,39.3,1.740
300,100,0,8,120,0,300,28,1.950,39.3,1.740
300,100,0,8,120,0,300,28,1.950,45.8,1.740
300,100,0,8,120,0,300,28,1.950,55.9,1.740
300,100,0,8,120,0,300,28,1.950,38.9,1.740
300,100,0,8,120,0,300,28,1.950,47.1,1.740
300,100,0,8,120,0,300,28,1.950,57.0,1.740
300,100,0,10,120,0,300,3,1.950,40.5,1.740
300,100,0,10,120,0,300,3,1.950,40.2,1.740
300,100,0,10,120,0,300,3,1.950,42.5,1.740
300,100,0,10,120,0,300,3,1.950,55.5,1.740
300,100,0,10,120,0,300,3,1.950,40.7,1.740
300,100,0,10,120,0,300,3,1.950,46.2,1.740
300,100,0,10,120,0,300,3,1.950,56.9,1.740
300,100,0,10,120,0,300,7,1.950,40.8,1.740
300,100,0,10,120,0,300,7,1.950,39.9,1.740
300,100,0,10,120,0,300,7,1.950,42.6,1.740
300,100,0,10,120,0,300,7,1.950,55.9,1.740
300,100,0,10,120,0,300,7,1.950,40.5,1.740
300,100,0,10,120,0,300,7,1.950,45.8,1.740
300,100,0,10,120,0,300,7,1.950,57.2,1.740
300,100,0,10,120,0,300,14,1.950,40.8,1.740
300,100,0,10,120,0,300,14,1.950,39.8,1.740
300,100,0,10,120,0,300,14,1.950,43.5,1.740
300,100,0,10,120,0,300,14,1.950,57.4,1.740
300,100,0,10,120,0,300,14,1.950,39.8,1.740
300,100,0,10,120,0,300,14,1.950,45.7,1.740
300,100,0,10,120,0,300,14,1.950,58.2,1.740
300,100,0,10,120,0,300,28,1.950,41.3,1.740
300,100,0,10,120,0,300,28,1.950,41.3,1.740
300,100,0,10,120,0,300,28,1.950,48.1,1.740
300,100,0,10,120,0,300,28,1.950,58.7,1.740
300,100,0,10,120,0,300,28,1.950,40.8,1.740
300,100,0,10,120,0,300,28,1.950,49.5,1.740
300,100,0,10,120,0,300,28,1.950,59.8,1.740
300,100,0,12,120,0,300,3,1.950,42.5,1.740
300,100,0,12,120,0,300,3,1.950,42.2,1.740
300,100,0,12,120,0,300,3,1.950,44.7,1.740
300,100,0,12,120,0,300,3,1.950,58.3,1.740
300,100,0,12,120,0,300,3,1.950,42.8,1.740
300,100,0,12,120,0,300,3,1.950,48.6,1.740
300,100,0,12,120,0,300,3,1.950,59.8,1.740
300,100,0,12,120,0,300,7,1.950,42.8,1.740
300,100,0,12,120,0,300,7,1.950,41.9,1.740
300,100,0,12,120,0,300,7,1.950,44.7,1.740
300,100,0,12,120,0,300,7,1.950,58.7,1.740
300,100,0,12,120,0,300,7,1.950,42.5,1.740
300,100,0,12,120,0,300,7,1.950,48.1,1.740
300,100,0,12,120,0,300,7,1.950,60.0,1.740
300,100,0,12,120,0,300,14,1.950,42.8,1.740
300,100,0,12,120,0,300,14,1.950,41.8,1.740
300,100,0,12,120,0,300,14,1.950,45.7,1.740
300,100,0,12,120,0,300,14,1.950,60.3,1.740
300,100,0,12,120,0,300,14,1.950,41.7,1.740
300,100,0,12,120,0,300,14,1.950,48.0,1.740
300,100,0,12,120,0,300,14,1.950,61.1,1.740
300,100,0,12,120,0,300,28,1.950,43.4,1.740
300,100,0,12,120,0,300,28,1.950,43.4,1.740
300,100,0,12,120,0,300,28,1.950,50.5,1.740
300,100,0,12,120,0,300,28,1.950,61.7,1.740
300,100,0,12,120,0,300,28,1.950,42.8,1.740
300,100,0,12,120,0,300,28,1.950,52.0,1.740
300,100,0,12,120,0,300,28,1.950,62.8,1.740
300,100,0,14,120,0,300,3,1.950,44.6,1.740
300,100,0,14,120,0,300,3,1.950,44.3,1.740
300,100,0,14,120,0,300,3,1.950,46.9,1.740
300,100,0,14,120,0,300,3,1.950,61.2,1.740
300,100,0,14,120,0,300,3,1.950,44.9,1.740
300,100,0,14,120,0,300,3,1.950,51.0,1.740
300,100,0,14,120,0,300,3,1.950,62.8,1.740
300,100,0,14,120,0,300,7,1.950,45.0,1.740
300,100,0,14,120,0,300,7,1.950,44.0,1.740
300,100,0,14,120,0,300,7,1.950,46.9,1.740
300,100,0,14,120,0,300,7,1.950,61.7,1.740
300,100,0,14,120,0,300,7,1.950,44.6,1.740
300,100,0,14,120,0,300,7,1.950,50.5,1.740
300,100,0,14,120,0,300,7,1.950,63.0,1.740
300,100,0,14,120,0,300,14,1.950,45.0,1.740
300,100,0,14,120,0,300,14,1.950,43.9,1.740
300,100,0,14,120,0,300,14,1.950,48.0,1.740
300,100,0,14,120,0,300,14,1.950,63.3,1.740
300,100,0,14,120,0,300,14,1.950,43.8,1.740
300,100,0,14,120,0,300,14,1.950,50.4,1.740
300,100,0,14,120,0,300,14,1.950,64.1,1.740
300,100,0,14,120,0,300,28,1.950,45.6,1.740
300,100,0,14,120,0,300,28,1.950,45.5,1.740
300,100,0,14,120,0,300,28,1.950,53.1,1.740
300,100,0,14,120,0,300,28,1.950,64.8,1.740
300,100,0,14,120,0,300,28,1.950,45.0,1.740
300,100,0,14,120,0,300,28,1.950,54.6,1.740
300,100,0,14,120,0,300,28,1.950,66.0,1.740
400,0,0,8,120,0,800,3,2.200,23.8,1.840
400,0,0,8,120,0,800,3,2.200,23.6,1.840
400,0,0,8,120,0,800,3,2.200,25.0,1.840
400,0,0,8,120,0,800,3,2.200,32.7,1.840
400,0,0,8,120,0,800,3,2.200,24.0,1.840
400,0,0,8,120,0,800,3,2.200,27.2,1.840
400,0,0,8,120,0,800,3,2.200,33.5,1.840
400,0,0,8,120,0,800,7,2.200,24.0,1.840
400,0,0,8,120,0,800,7,2.200,23.5,1.840
400,0,0,8,120,0,800,7,2.200,25.0,1.840
400,0,0,8,120,0,800,7,2.200,32.9,1.840
400,0,0,8,120,0,800,7,2.200,23.8,1.840
400,0,0,8,120,0,800,7,2.200,26.9,1.840
400,0,0,8,120,0,800,7,2.200,33.6,1.840
400,0,0,8,120,0,800,14,2.200,24.0,1.840
400,0,0,8,120,0,800,14,2.200,23.4,1.840
400,0,0,8,120,0,800,14,2.200,25.6,1.840
400,0,0,8,120,0,800,14,2.200,33.8,1.840
400,0,0,8,120,0,800,14,2.200,23.4,1.840
400,0,0,8,120,0,800,14,2.200,26.9,1.840
400,0,0,8,120,0,800,14,2.200,34.2,1.840
400,0,0,8,120,0,800,28,2.200,24.3,1.840
400,0,0,8,120,0,800,28,2.200,24.3,1.840
400,0,0,8,120,0,800,28,2.200,28.3,1.840
400,0,0,8,120,0,800,28,2.200,34.6,1.840
400,0,0,8,120,0,800,28,2.200,24.0,1.840
400,0,0,8,120,0,800,28,2.200,29.1,1.840
400,0,0,8,120,0,800,28,2.200,35.2,1.840
400,0,0,10,120,0,800,3,2.200,24.5,1.840
400,0,0,10,120,0,800,3,2.200,23.9,1.840
400,0,0,10,120,0,800,3,2.200,25.4,1.840
400,0,0,10,120,0,800,3,2.200,33.2,1.840
400,0,0,10,120,0,800,3,2.200,24.2,1.840
400,0,0,10,120,0,800,3,2.200,27.7,1.840
400,0,0,10,120,0,800,3,2.200,33.7,1.840
