FlyAsh,GGBFS,NaOH_M,Na2SiO3,CopperSlag,RecycledAgg,Curing_Days,Comp_Strength,provenance,material_system
300,100,8,120,0,0,3,73.2,Data.xlsx,fly_ash_slag_concrete
300,100,8,120,0,0,3,37.5,Data.xlsx,fly_ash_slag_concrete
300,100,8,120,0,0,3,61.0,Data.xlsx,fly_ash_slag_concrete
300,100,8,120,0,0,3,73.6,Data.xlsx,fly_ash_slag_concrete
300,100,8,120,0,0,7,30.2,Data.xlsx,fly_ash_slag_concrete
300,100,8,120,0,0,7,35.2,Data.xlsx,fly_ash_slag_concrete
300,100,8,120,0,0,7,60.6,Data.xlsx,fly_ash_slag_concrete
300,100,8,120,0,0,7,73.1,Data.xlsx,fly_ash_slag_concrete
300,100,8,120,0,0,7,37.8,Data.xlsx,fly_ash_slag_concrete
300,100,8,120,0,0,7,60.9,Data.xlsx,fly_ash_slag_concrete
300,100,8,120,0,0,7,73.7,Data.xlsx,fly_ash_slag_concrete
300,100,8,120,0,0,14,32.0,Data.xlsx,fly_ash_slag_concrete
300,100,8,120,0,0,14,37.7,Data.xlsx,fly_ash_slag_concrete
300,100,8,120,0,0,14,60.6,Data.xlsx,fly_ash_slag_concrete
300,100,8,120,0,0,14,75.2,Data.xlsx,fly_ash_slag_concrete
300,100,8,120,0,0,14,39.6,Data.xlsx,fly_ash_slag_concrete
300,100,8,120,0,0,14,60.9,Data.xlsx,fly_ash_slag_concrete
300,100,8,120,0,0,14,75.5,Data.xlsx,fly_ash_slag_concrete
300,100,8,120,0,0,28,36.8,Data.xlsx,fly_ash_slag_concrete
300,100,8,120,0,0,28,43.9,Data.xlsx,fly_ash_slag_concrete
300,100,8,120,0,0,28,60.1,Data.xlsx,fly_ash_slag_concrete
300,100,8,120,0,0,28,76.1,Data.xlsx,fly_ash_slag_concrete
300,100,8,120,0,0,28,46.0,Data.xlsx,fly_ash_slag_concrete
300,100,8,120,0,0,28,64.0,Data.xlsx,fly_ash_slag_concrete
300,100,8,120,0,0,28,77.0,Data.xlsx,fly_ash_slag_concrete
300,100,10,120,0,0,3,32.6,Data.xlsx,fly_ash_slag_concrete
300,100,10,120,0,0,3,37.4,Data.xlsx,fly_ash_slag_concrete
300,100,10,120,0,0,3,66.3,Data.xlsx,fly_ash_slag_concrete
300,100,10,120,0,0,3,80.5,Data.xlsx,fly_ash_slag_concrete
300,100,10,120,0,0,3,41.3,Data.xlsx,fly_ash_slag_concrete
300,100,10,120,0,0,3,67.1,Data.xlsx,fly_ash_slag_concrete
300,100,10,120,0,0,3,81.0,Data.xlsx,fly_ash_slag_concrete
300,100,10,120,0,0,7,33.3,Data.xlsx,fly_ash_slag_concrete
300,100,10,120,0,0,7,38.7,Data.xlsx,fly_ash_slag_concrete
300,100,10,120,0,0,7,66.6,Data.xlsx,fly_ash_slag_concrete
300,100,10,120,0,0,7,80.4,Data.xlsx,fly_ash_slag_concrete
300,100,10,120,0,0,7,41.5,Data.xlsx,fly_ash_slag_concrete
300,100,10,120,0,0,7,67.0,Data.xlsx,fly_ash_slag_concrete
300,100,10,120,0,0,7,81.1,Data.xlsx,fly_ash_slag_concrete
300,100,10,120,0,0,14,35.2,Data.xlsx,fly_ash_slag_concrete
300,100,10,120,0,0,14,41.5,Data.xlsx,fly_ash_slag_concrete
300,100,10,120,0,0,14,66.6,Data.xlsx,fly_ash_slag_concrete
300,100,10,120,0,0,14,82.7,Data.xlsx,fly_ash_slag_concrete
300,100,10,120,0,0,14,43.6,Data.xlsx,fly_ash_slag_concrete
300,100,10,120,0,0,14,67.0,Data.xlsx,fly_ash_slag_concrete
300,100,10,120,0,0,14,83.1,Data.xlsx,fly_ash_slag_concrete
300,100,10,120,0,0,28,40.5,Data.xlsx,fly_ash_slag_concrete
300,100,10,120,0,0,28,48.3,Data.xlsx,fly_ash_slag_concrete
300,100,10,120,0,0,28,66.1,Data.xlsx,fly_ash_slag_concrete
300,100,10,120,0,0,28,83.8,Data.xlsx,fly_ash_slag_concrete
300,100,10,120,0,0,28,50.6,Data.xlsx,fly_ash_slag_concrete
300,100,10,120,0,0,28,70.4,Data.xlsx,fly_ash_slag_concrete
300,100,10,120,0,0,28,84.7,Data.xlsx,fly_ash_slag_concrete
300,100,12,120,0,0,3,35.8,Data.xlsx,fly_ash_slag_concrete
300,100,12,120,0,0,3,41.2,Data.xlsx,fly_ash_slag_concrete
300,100,12,120,0,0,3,72.9,Data.xlsx,fly_ash_slag_concrete
300,100,12,120,0,0,3,88.6,Data.xlsx,fly_ash_slag_concrete
300,100,12,120,0,0,3,45.4,Data.xlsx,fly_ash_slag_concrete
300,100,12,120,0,0,3,73.8,Data.xlsx,fly_ash_slag_concrete
300,100,12,120,0,0,3,89.1,Data.xlsx,fly_ash_slag_concrete
300,100,12,120,0,0,7,36.6,Data.xlsx,fly_ash_slag_concrete
300,100,12,120,0,0,7,42.6,Data.xlsx,fly_ash_slag_concrete
300,100,12,120,0,0,7,73.3,Data.xlsx,fly_ash_slag_concrete
300,100,12,120,0,0,7,88.5,Data.xlsx,fly_ash_slag_concrete
300,100,12,120,0,0,7,45.7,Data.xlsx,fly_ash_slag_concrete
300,100,12,120,0,0,7,73.7,Data.xlsx,fly_ash_slag_concrete
300,100,12,120,0,0,7,89.2,Data.xlsx,fly_ash_slag_concrete
300,100,12,120,0,0,14,38.7,Data.xlsx,fly_ash_slag_concrete
300,100,12,120,0,0,14,45.6,Data.xlsx,fly_ash_slag_concrete
300,100,12,120,0,0,14,73.3,Data.xlsx,fly_ash_slag_concrete
300,100,12,120,0,0,14,91.0,Data.xlsx,fly_ash_slag_concrete
300,100,12,120,0,0,14,47.9,Data.xlsx,fly_ash_slag_concrete
300,100,12,120,0,0,14,73.7,Data.xlsx,fly_ash_slag_concrete
300,100,12,120,0,0,14,91.4,Data.xlsx,fly_ash_slag_concrete
300,100,12,120,0,0,28,44.6,Data.xlsx,fly_ash_slag_concrete
300,100,12,120,0,0,28,53.1,Data.xlsx,fly_ash_slag_concrete
300,100,12,120,0,0,28,72.7,Data.xlsx,fly_ash_slag_concrete
300,100,12,120,0,0,28,92.1,Data.xlsx,fly_ash_slag_concrete
300,100,12,120,0,0,28,55.7,Data.xlsx,fly_ash_slag_concrete
300,100,12,120,0,0,28,77.4,Data.xlsx,fly_ash_slag_concrete
300,100,12,120,0,0,28,93.2,Data.xlsx,fly_ash_slag_concrete
300,100,14,120,0,0,3,39.4,Data.xlsx,fly_ash_slag_concrete
300,100,14,120,0,0,3,45.3,Data.xlsx,fly_ash_slag_concrete
300,100,14,120,0,0,3,80.2,Data.xlsx,fly_ash_slag_concrete
300,100,14,120,0,0,3,97.5,Data.xlsx,fly_ash_slag_concrete
300,100,14,120,0,0,3,49.9,Data.xlsx,fly_ash_slag_concrete
300,100,14,120,0,0,3,81.2,Data.xlsx,fly_ash_slag_concrete
300,100,14,120,0,0,3,98.0,Data.xlsx,fly_ash_slag_concrete
300,100,14,120,0,0,7,40.2,Data.xlsx,fly_ash_slag_concrete
300,100,14,120,0,0,7,46.9,Data.xlsx,fly_ash_slag_concrete
300,100,14,120,0,0,7,80.6,Data.xlsx,fly_ash_slag_concrete
300,100,14,120,0,0,7,97.3,Data.xlsx,fly_ash_slag_concrete
300,100,14,120,0,0,7,50.3,Data.xlsx,fly_ash_slag_concrete
300,100,14,120,0,0,7,81.0,Data.xlsx,fly_ash_slag_concrete
300,100,14,120,0,0,7,98.1,Data.xlsx,fly_ash_slag_concrete
300,100,14,120,0,0,14,42.6,Data.xlsx,fly_ash_slag_concrete
300,100,14,120,0,0,14,50.2,Data.xlsx,fly_ash_slag_concrete
300,100,14,120,0,0,14,80.7,Data.xlsx,fly_ash_slag_concrete
300,100,14,120,0,0,14,100.0,Data.xlsx,fly_ash_slag_concrete
300,100,14,120,0,0,14,52.7,Data.xlsx,fly_ash_slag_concrete
300,100,14,120,0,0,14,81.1,Data.xlsx,fly_ash_slag_concrete
300,100,14,120,0,0,28,49.0,Data.xlsx,fly_ash_slag_concrete
300,100,14,120,0,0,28,58.4,Data.xlsx,fly_ash_slag_concrete
300,100,14,120,0,0,28,79.9,Data.xlsx,fly_ash_slag_concrete
300,100,14,120,0,0,28,101.0,Data.xlsx,fly_ash_slag_concrete
300,100,14,120,0,0,28,61.2,Data.xlsx,fly_ash_slag_concrete
300,100,14,120,0,0,28,85.2,Data.xlsx,fly_ash_slag_concrete
300,100,14,120,0,0,28,102.0,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,300,3,35.1,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,300,3,34.8,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,300,3,36.8,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,300,3,48.1,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,300,3,35.3,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,300,3,40.0,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,300,3,49.3,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,300,7,35.3,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,300,7,34.6,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,300,7,36.8,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,300,7,48.4,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,300,7,35.0,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,300,7,39.6,Data.xlsx,fly_ash_slag_concrete
