sample_id,sorbent_name,sorbent_class,framework_code,adsorbate,adsorbate_class,capacity_mg_g,capacity_type,capacity_std,initial_conc_mg_L,dose_g_L,temperature_K,ph,contact_time_h,competing_ion,competing_ion_mg_L,si_al,na_al,k_al,ca_al,precursor,activator_molarity,bet_m2_g,pore_volume_cm3_g,cec_meq_100g,al_content_mol_kg,al_iv_pct,al_iv_mmol_g,kd_mL_g,kd_competing_ion,selectivity_factor,langmuir_b_L_mg,freundlich_kf,freundlich_n,dr_e_kj_mol,r2,provenance_doi,source_label,replicated,from_figure,value_repeated
Si4 Al1 Na1 Ca5_NH4+,Si4 Al1 Na1 Ca5,,,NH4+,analogue,5.933333333333351,single_point_q,0.3214550253664323,100.0,1.0,,7.0,,,,4.0,1.0,,5.0,synthetic_colloidal_silica_Al_nitrate,,6.9212,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si3 Al1 Na1 Ca4_NH4+,Si3 Al1 Na1 Ca4,,,NH4+,analogue,6.666666666666657,single_point_q,0.3055050463303905,100.0,1.0,,7.0,,,,3.0,1.0,,4.0,synthetic_colloidal_silica_Al_nitrate,,10.2911,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si2 Al1 Na1 Ca3_NH4+,Si2 Al1 Na1 Ca3,,,NH4+,analogue,8.86666666666666,single_point_q,0.5773502691896257,100.0,1.0,,7.0,,,,2.0,1.0,,3.0,synthetic_colloidal_silica_Al_nitrate,,13.1828,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si1 Al1 Na1 Ca2_NH4+,Si1 Al1 Na1 Ca2,,,NH4+,analogue,10.999999999999986,single_point_q,0.6999999999999993,100.0,1.0,,7.0,,,,1.0,1.0,,2.0,synthetic_colloidal_silica_Al_nitrate,,14.1045,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si4 Al1 Na1 Ca1_NH4+,Si4 Al1 Na1 Ca1,,,NH4+,analogue,6.533333333333331,single_point_q,0.3055050463303898,100.0,1.0,,7.0,,,,4.0,1.0,,1.0,synthetic_colloidal_silica_Al_nitrate,,2.7858,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si4 Al1 Na1 Ca2_NH4+,Si4 Al1 Na1 Ca2,,,NH4+,analogue,6.799999999999997,single_point_q,0.3464101615137763,100.0,1.0,,7.0,,,,4.0,1.0,,2.0,synthetic_colloidal_silica_Al_nitrate,,1.0347,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si4 Al1 Na1 Ca3_NH4+,Si4 Al1 Na1 Ca3,,,NH4+,analogue,8.26666666666668,single_point_q,0.2081665999466122,100.0,1.0,,7.0,,,,4.0,1.0,,3.0,synthetic_colloidal_silica_Al_nitrate,,2.7037,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si4 Al1 Na1 Ca4_NH4+,Si4 Al1 Na1 Ca4,,,NH4+,analogue,8.666666666666671,single_point_q,0.4509249752822887,100.0,1.0,,7.0,,,,4.0,1.0,,4.0,synthetic_colloidal_silica_Al_nitrate,,7.9533,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si4 Al1 Na1 Ca5_NH4+,Si4 Al1 Na1 Ca5,,,NH4+,analogue,5.933333333333351,single_point_q,0.3214550253664323,100.0,1.0,,7.0,,,,4.0,1.0,,5.0,synthetic_colloidal_silica_Al_nitrate,,6.9212,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si20 Al1 Na1_methylene_blue,Si20 Al1 Na1,,,methylene_blue,dye,90.28364187506766,single_point_q,0.8173470212483221,100.0,1.0,,7.0,,,,20.0,1.0,,0.0,synthetic_colloidal_silica_Al_nitrate,,248.5779,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si15 Al1 Na1_methylene_blue,Si15 Al1 Na1,,,methylene_blue,dye,87.57713543358234,single_point_q,0.8438052001797065,100.0,1.0,,7.0,,,,15.0,1.0,,0.0,synthetic_colloidal_silica_Al_nitrate,,242.2844,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si10 Al1 Na1_methylene_blue,Si10 Al1 Na1,,,methylene_blue,dye,77.23828082710837,single_point_q,2.366297823361955,100.0,1.0,,7.0,,,,10.0,1.0,,0.0,synthetic_colloidal_silica_Al_nitrate,,205.9179,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si5Al1Na1_methylene_blue,Si5Al1Na1,,,methylene_blue,dye,56.560571614160445,single_point_q,3.243745429593725,100.0,1.0,,7.0,,,,5.0,1.0,,0.0,synthetic_colloidal_silica_Al_nitrate,,132.029,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si4Al1Na1_methylene_blue,Si4Al1Na1,,,methylene_blue,dye,48.38692216087475,single_point_q,0.4086735106241655,100.0,1.0,,7.0,,,,4.0,1.0,,0.0,synthetic_colloidal_silica_Al_nitrate,,109.1322,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si3Al1Na1_methylene_blue,Si3Al1Na1,,,methylene_blue,dye,36.74894446248782,single_point_q,1.38746407036659,100.0,1.0,,7.0,,,,3.0,1.0,,0.0,synthetic_colloidal_silica_Al_nitrate,,71.6143,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si2Al1Na1_methylene_blue,Si2Al1Na1,,,methylene_blue,dye,14.339071126989268,single_point_q,1.3874640703666044,100.0,1.0,,7.0,,,,2.0,1.0,,0.0,synthetic_colloidal_silica_Al_nitrate,,30.9583,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si1Al1Na1_methylene_blue,Si1Al1Na1,,,methylene_blue,dye,3.567175489877665,single_point_q,0.5702962949471003,100.0,1.0,,7.0,,,,1.0,1.0,,0.0,synthetic_colloidal_silica_Al_nitrate,,8.2712,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si20 Al1 Na1 Ca21_methylene_blue,Si20 Al1 Na1 Ca21,,,methylene_blue,dye,27.005521273140623,single_point_q,1.268309463447004,100.0,1.0,,7.0,,,,20.0,1.0,,21.0,synthetic_colloidal_silica_Al_nitrate,,6.3727,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si15 Al1 Na1 Ca16_methylene_blue,Si15 Al1 Na1 Ca16,,,methylene_blue,dye,25.219227021760314,single_point_q,0.8592891559157514,100.0,1.0,,7.0,,,,15.0,1.0,,16.0,synthetic_colloidal_silica_Al_nitrate,,6.039,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si10 Al1 Na1 Ca11_methylene_blue,Si10 Al1 Na1 Ca11,,,methylene_blue,dye,21.59250839016997,single_point_q,1.1969981805508314,100.0,1.0,,7.0,,,,10.0,1.0,,11.0,synthetic_colloidal_silica_Al_nitrate,,5.1397,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
